request_id,title,category,quantity,max_budget,deadline_days,created_at
REQ-001,BI Analytics Platform Licenses (Lot 001),Software Licenses,898,56032.61,21,2026-01-11 15:00:00
REQ-002,Shared Pantry Essentials (Lot 002),Office Supplies,363,53160.87,21,2026-03-21 07:00:00
REQ-003,Server Rack Infrastructure Upgrade (Lot 003),IT Hardware,413,181719.64,11,2026-03-27 08:00:00
REQ-004,Bulk Equipment Shipping Services (Lot 004),Logistics & Shipping,661,53661.51,41,2026-05-12 12:00:00
REQ-005,Steel Tubes & Sheets Supply (Lot 005),Raw Metals,123,58030.2,44,2026-03-09 05:00:00
REQ-006,Inter-State Freight Shipping (Lot 006),Logistics & Shipping,116,153082.66,29,2026-06-03 13:00:00
REQ-007,Executive Lunch Board Meetings (Lot 007),Catering Services,451,92699.27,14,2026-06-06 16:00:00
REQ-008,Adhesives & Resins Bulk (Lot 008),Chemical Materials,265,156458.56,34,2026-01-13 22:00:00
REQ-009,Server Rack Infrastructure Upgrade (Lot 009),IT Hardware,377,17746.4,28,2026-04-22 02:00:00
REQ-010,Office Electrical Maintenance (Lot 010),HVAC & Maintenance,684,100076.38,26,2026-02-02 23:00:00
REQ-011,Access Control Hardware & Service (Lot 011),Security Services,687,11554.65,32,2026-04-16 10:00:00
REQ-012,Executive Lunch Board Meetings (Lot 012),Catering Services,572,17217.37,33,2026-02-03 06:00:00
REQ-013,Annual Report High-Volume Print (Lot 013),Marketing & Print,698,181755.3,43,2026-02-15 19:00:00
REQ-014,Supply Chain Warehouse Distribution (Lot 014),Logistics & Shipping,566,32152.85,25,2026-01-02 09:00:00
REQ-015,Shared Pantry Essentials (Lot 015),Office Supplies,809,108822.03,27,2026-05-30 19:00:00
REQ-016,Sanitization & Disinfection Contract (Lot 016),Janitorial Services,457,85163.64,39,2026-06-23 06:00:00
REQ-017,Specialized Window Cleaning Lot (Lot 017),Janitorial Services,679,72731.95,39,2026-01-23 09:00:00
REQ-018,Promotional Merchandise Lot (Lot 018),Marketing & Print,100,180467.5,26,2026-03-03 21:00:00
REQ-019,Laser Printer Toners & Papers (Lot 019),Office Supplies,155,9255.56,22,2026-01-08 01:00:00
